"pytanie","poprawna odpowiedź","błędna odpowiedź","błędna odpowiedź","błędna odpowiedź"
"przykładowe pytanie","poprawna odpowiedź","błędna odpowiedź 1","błędna odpowiedź 2","błędna odpowiedź 3"
"przykładowe pytanie","poprawna odpowiedź","błędna odpowiedź 1","błędna odpowiedź 2","błędna odpowiedź 3"
"przykładowe pytanie","poprawna odpowiedź","błędna odpowiedź 1","błędna odpowiedź 2","błędna odpowiedź 3"
"przykładowe pytanie","poprawna odpowiedź","błędna odpowiedź 1","błędna odpowiedź 2","błędna odpowiedź 3"
"przykładowe pytanie","poprawna odpowiedź","błędna odpowiedź 1","błędna odpowiedź 2","błędna odpowiedź 3"
"przykładowe pytanie","poprawna odpowiedź","błędna odpowiedź 1","błędna odpowiedź 2","błędna odpowiedź 3"
"przykładowe pytanie","poprawna odpowiedź","błędna odpowiedź 1","błędna odpowiedź 2","błędna odpowiedź 3"
"przykładowe pytanie","poprawna odpowiedź","błędna odpowiedź 1","błędna odpowiedź 2","błędna odpowiedź 3"
"przykładowe pytanie","poprawna odpowiedź","błędna odpowiedź 1","błędna odpowiedź 2","błędna odpowiedź 3"
"przykładowe pytanie","poprawna odpowiedź","błędna odpowiedź 1","błędna odpowiedź 2","błędna odpowiedź 3"
"przykładowe pytanie","poprawna odpowiedź","błędna odpowiedź 1","błędna odpowiedź 2","błędna odpowiedź 3"
"przykładowe pytanie","poprawna odpowiedź","błędna odpowiedź 1","błędna odpowiedź 2","błędna odpowiedź 3"
